du	d uː
ne	n ə
vater	f aː tʰ ɐ
was	v a s
wo	v oː
wolke	v ɔ l kʰ ə
ab	a p
de	d ə
paradiese	pʰ a ʁ a d iː z ə
abbild	a p b ɪ l t
verzeihung	f ɛ ɐ ts aj ʊ ŋ
abbröckelte	a p b ʁ œ kʰ ə l tʰ ə
abbrachen	a p b ʁ a x n̩
abendbrot	aː m b ʁ oː t
abbüßen	a p b yː s n̩
abbüßen	a p b ʏ s n̩
abbüßung	a p b yː s ʊ ŋ
abbüßung	a p b ʏ s ʊ ŋ
abenddämmerung	aː m d ɛ m ə ʁ ʊ ŋ
abend	aː b n̩ t
abend	aː b ə n t
abendglocke	aː b ə n t ɡ l ɔ kʰ ə
abendhimmel	aː b n̩ t h ɪ m l̩
abenddunkeln	aː m d ʊ ŋ kʰ l̩ n
abenddunkeln	aː m d ʊ ŋ kʰ ə l n
abendlichts	aː b ə n t l ɪ ç t s
abendlichts	aː b ə n t l ɪ ç ts
abendglatte	aː b n̩ t ɡ l a tʰ ə
abendglatte	aː b ə n t ɡ l a tʰ ə
abendgrau	aː b n̩ t ɡ ʁ aw
abendgrau	aː b ə n t ɡ ʁ aw
abendkleid	aː b ə n t k l aj t
abendlichen	aː b ə n t l ɪ ç n̩
abendländische	aː b ə n t l ɛ n d ɪ ʃ ə
abendrot	aː b n̩ t ʁ oː t
abendröte	aː b n̩ t ʁ øː tʰ ə
abendluft	aː b ə n t l ʊ f t
abendschnee	aː b ə n t ʃ n eː
abendunterhaltungen	aː b n̩ tʰ ʊ n tʰ ə ʁ h a l tʰ ʊ ŋ n̩
abendländischen	aː b ə n t l ɛ n d ɪ ʃ n̩
abends	aː b n̩ ts
abends	aː b ə n t s
abendsonne	aː b n̩ t z ɔ n ə
abendanzug	aː b n̩ tʰ a n ts uː k
abendanzug	aː m tʰ a n ts uː k
abendstunde	aː b ə n t ʃ t ʊ n d ə
abenteuern	aː b n̩ tʰ ɔʏ ɐ n
abenteuern	aː b ə n tʰ ɔʏ ɐ n
abende	aː b n̩ d ə
abende	aː b ə n d ə
abende	aː b ə n t
abendwindes	aː b n̩ t v ɪ n d ə s
abenteuers	aː b n̩ tʰ ɔʏ ɐ s
abenteuers	aː b ə n tʰ ɔʏ ɐ s
abendzeit	aː b n̩ ts aj t
abendessen	aː m tʰ ɛ s n̩
aberwitzige	aː b ɐ v ɪ ts ɪ ɡ ə
