dijo	d̪ i x o
bajo	b a x o
bre	b ɾ e
cabo	k a β o
cerca	θ e r k a
demás	d̪ e m a s
delante	d̪ e l a n t̪ e
diós	d̪ j o s
cabáramos	k a β a ɾ a m o s
hora	o ɾ a
l	e l e
l	l
lgo	l ɣ o
guarda	ɡ w a r ð a
lguna	l ɣ u n a
lguien	l ɣ j e n
llá	ʎ a
ll	ʎ
llí	ʎ i
listeme	l i s t̪ e m e
lma	l m a
migo	m i ɣ o
mo	m o
lto	l t̪ o
nde	n d̪ e
ntes	n t̪ e s
noche	n o tʃ e
pareció	p a ɾ e θ j o
ngelito	ɲ ç e l i t̪ o
pretar	p ɾ e t̪ a ɾ
quí	c i
partémonos	p a r t̪ e m o n o s
raceli	r a θ e l i
quellas	c e ʎ a s
rden	r ð e n
sistí	s i s t̪ i
quélla	c e ʎ a
quélla	k w e ʎ a
sí	s i
unque	u ɲ c e
yúdame	ɟʝ u ð a m e
asta	a s t̪ a
astante	a s t̪ a n t̪ e
ien	i e n
endito	e n d̪ i t̪ o
onito	o n i t̪ o
te	t̪ e
romea	r o m e a
uenas	w e n a s
úscala	u s k a l a
alla	a ʎ a
amaradas	a m a ɾ a ð a s
igot	i ɣ o
igot	i ɣ o t̪
ún	u n
orracho	o r a tʃ o
usco	u s k o
aballero	a β a ʎ e ɾ o
erizy	e ɾ i θ i
incuenta	i ŋ k w e n t̪ a
omo	o m o
on	o n
altasarillo	a l t̪ a s a ɾ i ʎ o
uen	e n
uen	u e n
uen	w e n
uena	w e n a
allad	a ʎ a ð
asi	a s i
ueno	w e n o
est	e s t̪
anallas	a n a ʎ a s
erca	e r k a
iertamente	j e r t̪ a m e n t̪ e
omprendo	o m p ɾ e n d̪ o
onnu	o n u
onocí	o n o θ i
onque	o ɲ c e
onfesaré	o n f e s a ɾ e
astigo	a s t̪ i ɣ o
hico	i k o
hico	ç i k o
ierto	i e ɾ t̪ o
ierto	j e r t̪ o
ipérez	i p e ɾ e θ
ontigo	o n t̪ i ɣ o
reo	r e o
uando	w a n d̪ o
onocéis	o n o θ e i s
onozco	o n o θ k o
obardón	o β a r ð o n
aré	a ɾ e
orred	o r e ð
oncluyamos	o ŋ k l u ʝ a m o s
ecidme	e θ i ð m e
ualquiera	w a l k j e ɾ a
ecid	e θ i ð
onviene	o m b j e n e
ecía	e θ i a
eja	e x a
orro	o r o
ale	a l e
ame	a m e
e	e
