vous	v u
ah	a
adieu	a d j ø
ainsi	ɛ̃ s i
allez	a l e
adorable	a d ɔ ʁ a b l
alerte	a l ɛ ʁ t
allons	a l ɔ̃
alors	a l ɔ ʁ
andré	ɑ̃ d ʁ e
approche	a p ʁ ɔ ʃ
après	a p ʁ ɛ
appelezmoi	a p ə l e m w a
allezvousen	a l e v u s ɛ n
attendez	a t ɑ̃ d e
au	o
attends	a t ɑ̃
assassin	a s a s a s ɛ̃
assassin	a s a s i n
assassin	a s a s s ɛ̃
assassin	a s a s ɛ̃
avec	a v ɛ k
bah	b a
bonjour	b ɔ̃ ʒ u ʁ
baissez	b ɛ s e
aujourd'hui	o ʒ ɔ ʁ d ɥ i
brûler	b ʁ y l e
bravo	b ʁ a v o
c'est	k ɛ
c'est	s ɛ
c'est	ɛ
ce	s
ceci	s i
ceci	s ə s i
cela	s ə l a
cet	s ɛ
cet	s ɛ t
c'estàdire	s t a d i ʁ
c'estàdire	t a d i ʁ
certes	s ɛ ʁ t
chez	ʃ e
cette	s ɛ t
cinq	s ɛ̃
cinq	s ɛ̃ k
chut	ʃ y
citoyens	s i t w a j ɛ̃
cocher	k ɔ ʃ e
citoyen	s i t w a j ɛ̃
combien	k ɔ̃ b j ɛ̃
colletoi	k ɔ l t w a
colletoi	k ɔ l ɛ t w a
comment	k ɔ m
comment	k ɔ m ɑ̃
comprendon	k ɔ̃ p ʁ ɑ̃ d ɔ̃
comprendon	k ɔ̃ p ʁ ɛ n d ɔ̃
connaisle	k ɔ n ɛ ɛ l
comme	k ɔ m
cosette	k o z ɛ t
comprendstu	k ɔ̃ p ʁ ɑ̃ s t y
comprendstu	k ɔ̃ p ʁ ɑ̃ t y
comprendstu	k ɔ̃ p ʁ ɑ̃ ɛ t y
connaistu	k ɔ n e s t y
connaistu	k ɔ n ɛ s ɑ̃ e s t y
connaistu	k ɔ n ɛ ɛ t y
césar	s e z a ʁ
d'abord	d a b ɔ ʁ
confessons	k ɔ̃ f e s ɔ̃
confessons	k ɔ̃ f s ɔ̃
confessons	k ɔ̃ f ɛ s ɔ̃
dans	d ɑ̃
continuez	k ɔ̃ t i n ɥ e
demain	d ə m ɛ̃
d'où	d u
descendre	d e s ɑ̃ d ʁ
dame	d a m
d'ailleurs	d a j œ ʁ
dier	d j e
dis	d i
dites	d i t
de	d
de	d ə
dépêchons	d e p ɛ ʃ ɔ̃
donc	d ɔ̃
donc	d ɔ̃ k
elle	ɛ l
en	ɑ̃
en	ɛ n
encore	ɑ̃ k ɔ ʁ
des	d
des	d e
deux	d ø
dieu	d j ø
enjolras	ɑ̃ ʒ ɔ l ʁ ɑ
désignez	d e z i ɲ e
estce	ɛ s t ɛ s
eh	e
du	d y
faites	f ɛ t
embrassezmoi	ɑ̃ b ʁ a s e m w a
décidément	d e s i d e m ɑ̃
finissons	f i ɲ i s ɔ̃
empêchons	ɑ̃ p ɛ ʃ ɔ̃
entrez	ɑ̃ t ʁ e
et	e
et	ɛ
et	ɛ t
fâchezvous	f ɑ ʃ e v u
faire	f ɛ ʁ
gêné	ʒ ɛ n e
eux	ø
feu	f ø
feu	f œ
feu	f œ ø
hein	ɛ̃
faitesen	f ɛ t e n
faitesen	f ɛ t e s ɛ n
faitesen	f ɛ t n
faitesen	f ɛ t ə n
faitesen	f ɛ t ɛ n
fichtre	f i ʃ t ʁ
hou	u
huit	ɥ i
huit	ɥ i t
fusillezmoi	f y z i j e m w a
ici	i s i
forteresse	f ɔ ʁ t ə ʁ ɛ s
gillenormand	ʒ i l ə n ɔ ʁ m ɑ̃
harmodius	a ʁ m ɔ d j y s
impossible	ɛ̃ p ɔ s i b l
imbécile	ɛ̃ b e s i l
il	i
il	i l
ils	i
ils	i l
inspecteur	ɛ̃ s p ɛ k t œ ʁ
j'en	ʒ ɑ̃
je	ʒ
jean	ʒ ɑ̃
jettele	ʒ e t l
jettele	ʒ ɛ t l
jettele	ʒ ɛ t ə l
jettele	ʒ ɛ t ɛ l
l'amour	l a m u ʁ
l'assiette	l a s j ɛ t
l'assiette	l j ɛ t
laissezmoi	l ɛ s e m w a
les	l
les	l e
lesquelles	l e c ɛ l
mais	m ɛ
marionsnous	m a ʁ i ɔ̃ n u
marionsnous	m a ʁ j ɔ̃ n u
moi	m w a
j'admire	ʒ a d m i ʁ
j'admire	ʒ d m i ʁ
mon	m ɔ n
mon	m ɔ̃
javert	ʒ a v ɛ ʁ
l'admirable	l a d m i ʁ a b l
l'admirable	l d m i ʁ a b l
l'espèce	l ɛ s p ɛ s
la	l a
laissemoi	l ɛ s m w a
j'ai	ʒ e
le	l
monsieur	m ɔ̃ s j ø
monsieur	m ə s j ø
j'avais	ʒ a v ɛ
j'avais	ʒ v ɛ
lequel	l ə c ɛ l
n'avaistu	n a v e s t y
j'écoute	ʒ e k u t
là	l a
ne	n
non	n ɔ̃
nous	n u
oh	o
l'agent	l a ʒ
on	ɔ̃
ou	u
oui	w i
madame	m a d a m
l'anarchie	l a n a ʁ ʃ i
par	p a ʁ
parions	p a ʁ j ɔ̃
maintenant	m ɛ̃ t n ɑ̃
pas	p a s ɑ
pas	p ɑ
l'héroïsme	l e ʁ ɔ i s m
laquelle	l a c ɛ l
marius	m a ʁ j y s
pensezvous	p ɑ̃ s e v u
peuxtu	p ø z ɛ t y
peuxtu	p ø ø z ɛ t y
merci	m ɛ ʁ s i
pour	p u ʁ
mademoiselle	m a d m w a z ɛ l
mademoiselle	m a d ə m w a z ɛ l
prenez	p ʁ ə n e
prouvez	p ʁ u v e
présent	p ʁ e z ɑ̃
présent	p ʁ e z ɑ̃ s
présent	p ʁ e z ɑ̃ t
présent	p ʁ e z ɑ̃ t a s
présent	p ʁ e z ɑ̃ t ɛ
présent	p ʁ e z ɛ
présent	p ʁ e z ɛ s ɑ̃
présent	p ʁ e z ɛ z
mieux	mʲ ø
moins	m w ɛ̃
n'importe	n ɛ̃ p ɔ ʁ t
nicolette	ɲ i k ɔ l ɛ t
parlez	p a ʁ l e
part	p a ʁ
percé	p ɛ ʁ s e
permission	p ɛ ʁ m i s j ɔ̃
moire	m w a ʁ
prends	p ʁ ɑ̃
qu'elle	c ɛ l
quand	k ɑ̃
quel	c ɛ l
quelqu'un	c ɛ l c ɛ̃
quelqu'un	c ɛ l k ɛ̃
regardez	ʁ ə ɡ a ʁ d e
rentrons	ʁ ɑ̃ t ʁ ɔ̃
reviendrezvous	ʁ ə v j ɛ̃ d ʁ e v u
surtout	s y ʁ t u
tenez	t ə n e
tiens	t j ɛ̃
prenons	p ʁ ə n ɔ̃
montez	m ɔ̃ t e
prévu	p ʁ e v y
mourir	m u ʁ i ʁ
numéro	n y m e ʁ o
